City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,9.93,69,21,0.45,US,1707516720
1,edinburgh of the seven seas,-37.0676,-12.3116,19.71,93,99,10.68,SH,1707516890
2,blackmans bay,-43.0167,147.3167,13.18,57,27,0.45,AU,1707516889
3,albany,42.6001,-73.9662,10.25,59,21,0.45,US,1707516741
4,ust'-kut,56.7938,105.7672,-9.76,96,100,2.24,RU,1707517402
5,college,64.8569,-147.8028,-5.11,74,100,0.0,US,1707516820
6,mahanje,-9.9333,35.3333,19.42,96,100,1.21,TZ,1707517403
7,ginir,7.1333,40.7,16.21,60,2,1.83,ET,1707517403
8,port-aux-francais,-49.35,70.2167,7.86,95,66,14.0,TF,1707516889
9,aasiaat,68.7098,-52.8699,-17.33,74,100,9.77,GL,1707516922
10,utrik,11.2278,169.8474,26.11,79,100,10.46,MH,1707516963
11,vernon,50.2581,-119.2691,5.89,48,54,1.03,CA,1707516897
12,ushuaia,-54.8,-68.3,12.81,67,40,6.69,AR,1707516759
13,nantucket,41.2835,-70.0995,4.08,87,0,5.66,US,1707517263
14,port lincoln,-34.7333,135.8667,18.56,78,12,8.52,AU,1707516972
15,vila franca do campo,37.7167,-25.4333,15.23,86,100,1.75,PT,1707516926
16,luderitz,-26.6481,15.1594,18.96,67,76,11.27,NA,1707517290
17,nchelenge,-9.3451,28.734,22.61,83,52,1.23,ZM,1707517404
18,fada n'gourma,12.0622,0.3578,26.27,9,7,3.58,BF,1707517404
19,azangaro,-14.9167,-70.2167,8.06,87,100,1.8,PE,1707517404
20,saint-pierre,-21.3393,55.4781,25.82,78,0,3.09,RE,1707516946
21,adamstown,-25.066,-130.1015,25.04,93,100,10.11,PN,1707516893
22,grytviken,-54.2811,-36.5092,4.16,96,80,4.12,GS,1707516897
23,sao vicente,-23.9631,-46.3919,29.04,54,83,3.58,BR,1707517118
24,waitangi,-43.9535,-176.5597,17.12,74,4,3.13,NZ,1707516891
25,hamilton,39.1834,-84.5333,15.99,68,0,5.66,US,1707516891
26,villa regina,-39.1,-67.0667,20.14,83,100,11.38,AR,1707517405
27,taro,-8.3862,115.28,23.0,94,19,0.6,ID,1707516974
28,port mathurin,-19.6833,63.4167,26.61,80,98,11.03,MU,1707516895
29,ust'-dzheguta,44.0834,41.9763,5.92,64,5,4.06,RU,1707517406
30,sitka,57.0531,-135.33,5.94,70,100,11.83,US,1707516955
31,bodo,67.28,14.405,-3.92,96,100,9.77,NO,1707516983
32,anadyr,64.75,177.4833,-15.72,84,20,8.0,RU,1707516932
33,kill devil hills,36.0307,-75.676,12.0,71,0,3.6,US,1707517406
34,toguchin,55.2353,84.3858,2.43,97,100,12.71,RU,1707517406
35,invercargill,-46.4,168.35,10.57,93,98,3.13,NZ,1707516880
36,whistler,50.1164,-122.9695,3.73,67,100,1.03,CA,1707517407
37,arteche,12.2645,125.4048,24.64,83,18,4.48,PH,1707517407
38,carutapera,-1.195,-46.02,27.62,81,72,6.3,BR,1707517407
39,vorgashor,67.5833,63.95,-22.32,90,60,6.53,RU,1707516890
40,vila velha,-20.3297,-40.2925,26.08,87,20,4.63,BR,1707516930
41,nar'yan-mar,67.6713,53.087,-17.72,90,85,4.92,RU,1707516944
42,ar ruways,24.1103,52.7306,19.1,63,11,3.7,AE,1707517408
43,dhidhdhoo,6.8833,73.1,27.26,72,39,3.15,MV,1707517191
44,grande prairie,55.1667,-118.8027,-3.9,58,75,2.06,CA,1707517187
45,tura,25.5198,90.2201,10.25,63,0,2.0,IN,1707516968
46,longyearbyen,78.2186,15.6401,-5.09,68,40,8.23,SJ,1707517242
47,belmonte,-15.8631,-38.8828,23.38,90,100,2.11,BR,1707516705
48,franklin,39.9667,-83.0166,15.61,68,75,7.2,US,1707517317
49,puerto ayora,-0.7393,-90.3518,29.98,90,83,2.24,EC,1707516949
50,lebu,-37.6167,-73.65,15.1,86,66,6.43,CL,1707516911
51,iqaluit,63.7506,-68.5145,-28.15,69,20,2.06,CA,1707516914
52,tiksi,71.6872,128.8694,-23.68,100,100,1.94,RU,1707516900
53,hermanus,-34.4187,19.2345,16.0,77,46,3.77,ZA,1707516916
54,ma'an,26.9775,110.7211,2.59,93,2,1.77,CN,1707517409
55,cobija,-11.0267,-68.7692,31.1,74,75,2.06,BO,1707517410
56,bilibino,68.0546,166.4372,-21.33,93,100,2.76,RU,1707516899
57,holualoa,19.6228,-155.9522,24.91,75,40,4.12,US,1707517410
58,daru,-9.0763,143.2092,25.88,85,69,1.99,PG,1707517315
59,margaret river,-33.95,115.0667,20.7,50,0,3.03,AU,1707516909
60,peterhead,57.5058,-1.7981,3.22,96,100,17.28,GB,1707516965
61,avarua,-21.2078,-159.775,30.03,70,75,7.72,CK,1707516722
